Ársfjórðungur,Atvinnugreinar/Launþegahópur,Eining,value
2023Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,132.9
2023Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",7.4
2023Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",8.3
2024Q1,Total,Value of index,130.2
2024Q1,Total,"Quarterly change, %",-1.7
2024Q1,Total,"Annual change, %",5.7
2024Q1,Private sector,Value of index,128.7
2024Q1,Private sector,"Quarterly change, %",-0.9
2024Q1,Private sector,"Annual change, %",5.1
2024Q1,Public sector,Value of index,129.4
2024Q1,Public sector,"Quarterly change, %",-2.9
2024Q1,Public sector,"Annual change, %",6.6
2024Q1,Manufacturing (C),Value of index,131.7
2024Q1,Manufacturing (C),"Quarterly change, %",-1.6
2024Q1,Manufacturing (C),"Annual change, %",6
2024Q1,"Electricity, gas, steam and air conditioning supply (D)",Value of index,131.1
2024Q1,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-1.4
2024Q1,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",4.4
2024Q1,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,133.4
2024Q1,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-0.5
2024Q1,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",4.5
2024Q1,Construction (F),Value of index,129.6
2024Q1,Construction (F),"Quarterly change, %",-2.6
2024Q1,Construction (F),"Annual change, %",5.4
2024Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,130.3
2024Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-1.7
2024Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",5.7
2024Q1,Transportation and storage (H),Value of index,127.7
2024Q1,Transportation and storage (H),"Quarterly change, %",-2.4
2024Q1,Transportation and storage (H),"Annual change, %",4.8
2024Q1,Accommodation and food service activities (I),Value of index,135.6
2024Q1,Accommodation and food service activities (I),"Quarterly change, %",-0.7
2024Q1,Accommodation and food service activities (I),"Annual change, %",6.1
2024Q1,Information and communication (J),Value of index,133.4
2024Q1,Information and communication (J),"Quarterly change, %",2.8
2024Q1,Information and communication (J),"Annual change, %",7.1
2024Q1,Financial and insurance activities (K),Value of index,129
2024Q1,Financial and insurance activities (K),"Quarterly change, %",3.3
2024Q1,Financial and insurance activities (K),"Annual change, %",1.2
2024Q1,Real estate activities (L),Value of index,133.7
2024Q1,Real estate activities (L),"Quarterly change, %",1.6
2024Q1,Real estate activities (L),"Annual change, %",7.2
2024Q1,"Professional, scientific and technical activities (M)",Value of index,129.7
2024Q1,"Professional, scientific and technical activities (M)","Quarterly change, %",-2.7
2024Q1,"Professional, scientific and technical activities (M)","Annual change, %",3.6
2024Q1,Administrative and support service activities (N),Value of index,133
2024Q1,Administrative and support service activities (N),"Quarterly change, %",-0.7
2024Q1,Administrative and support service activities (N),"Annual change, %",5.3
2024Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,129
2024Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-2.9
2024Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",6.3
2024Q2,Total,Value of index,133.1
2024Q2,Total,"Quarterly change, %",2.2
2024Q2,Total,"Annual change, %",5.3
2024Q2,Private sector,Value of index,131
2024Q2,Private sector,"Quarterly change, %",1.8
2024Q2,Private sector,"Annual change, %",6.1
2024Q2,Public sector,Value of index,132.8
2024Q2,Public sector,"Quarterly change, %",2.6
2024Q2,Public sector,"Annual change, %",4
2024Q2,Manufacturing (C),Value of index,134.3
2024Q2,Manufacturing (C),"Quarterly change, %",2
2024Q2,Manufacturing (C),"Annual change, %",5.9
2024Q2,"Electricity, gas, steam and air conditioning supply (D)",Value of index,132.3
2024Q2,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",0.9
2024Q2,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",3.8
2024Q2,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,135.5
2024Q2,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",1.6
2024Q2,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",5.4
2024Q2,Construction (F),Value of index,134.7
2024Q2,Construction (F),"Quarterly change, %",3.9
2024Q2,Construction (F),"Annual change, %",6.7
2024Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,133.8
2024Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",2.7
2024Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",6.9
2024Q2,Transportation and storage (H),Value of index,133
2024Q2,Transportation and storage (H),"Quarterly change, %",4.2
2024Q2,Transportation and storage (H),"Annual change, %",6.2
2024Q2,Accommodation and food service activities (I),Value of index,140.9
2024Q2,Accommodation and food service activities (I),"Quarterly change, %",3.9
2024Q2,Accommodation and food service activities (I),"Annual change, %",7.5
2024Q2,Information and communication (J),Value of index,131.1
2024Q2,Information and communication (J),"Quarterly change, %",-1.7
2024Q2,Information and communication (J),"Annual change, %",5.8
2024Q2,Financial and insurance activities (K),Value of index,127
2024Q2,Financial and insurance activities (K),"Quarterly change, %",-1.6
2024Q2,Financial and insurance activities (K),"Annual change, %",5.3
2024Q2,Real estate activities (L),Value of index,132.2
2024Q2,Real estate activities (L),"Quarterly change, %",-1.1
2024Q2,Real estate activities (L),"Annual change, %",10
2024Q2,"Professional, scientific and technical activities (M)",Value of index,131.9
2024Q2,"Professional, scientific and technical activities (M)","Quarterly change, %",1.7
2024Q2,"Professional, scientific and technical activities (M)","Annual change, %",4.4
2024Q2,Administrative and support service activities (N),Value of index,135.9
2024Q2,Administrative and support service activities (N),"Quarterly change, %",2.2
2024Q2,Administrative and support service activities (N),"Annual change, %",6.3
2024Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,132.4
2024Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",2.6
2024Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",4
2024Q3,Total,Value of index,129.6
2024Q3,Total,"Quarterly change, %",-2.6
2024Q3,Total,"Annual change, %",5.5
2024Q3,Private sector,Value of index,127.1
2024Q3,Private sector,"Quarterly change, %",-3
2024Q3,Private sector,"Annual change, %",6
2024Q3,Public sector,Value of index,130.3
2024Q3,Public sector,"Quarterly change, %",-1.9
2024Q3,Public sector,"Annual change, %",4.8
2024Q3,Manufacturing (C),Value of index,130.2
2024Q3,Manufacturing (C),"Quarterly change, %",-3.1
2024Q3,Manufacturing (C),"Annual change, %",6.6
2024Q3,"Electricity, gas, steam and air conditioning supply (D)",Value of index,128.4
2024Q3,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-3
2024Q3,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",7.4
2024Q3,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,131.7
2024Q3,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-2.8
2024Q3,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",5.4
2024Q3,Construction (F),Value of index,131
2024Q3,Construction (F),"Quarterly change, %",-2.8
2024Q3,Construction (F),"Annual change, %",5.9
2024Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,129.3
2024Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-3.4
2024Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",6.2
2024Q3,Transportation and storage (H),Value of index,127.7
2024Q3,Transportation and storage (H),"Quarterly change, %",-4
2024Q3,Transportation and storage (H),"Annual change, %",5.7
2024Q3,Accommodation and food service activities (I),Value of index,137.4
2024Q3,Accommodation and food service activities (I),"Quarterly change, %",-2.5
2024Q3,Accommodation and food service activities (I),"Annual change, %",6.8
2024Q3,Information and communication (J),Value of index,130.2
2024Q3,Information and communication (J),"Quarterly change, %",-0.7
2024Q3,Information and communication (J),"Annual change, %",6.7
2024Q3,Financial and insurance activities (K),Value of index,122
2024Q3,Financial and insurance activities (K),"Quarterly change, %",-3.9
2024Q3,Financial and insurance activities (K),"Annual change, %",3.2
2024Q3,Real estate activities (L),Value of index,127
2024Q3,Real estate activities (L),"Quarterly change, %",-3.9
2024Q3,Real estate activities (L),"Annual change, %",7.5
2024Q3,"Professional, scientific and technical activities (M)",Value of index,127.1
2024Q3,"Professional, scientific and technical activities (M)","Quarterly change, %",-3.6
2024Q3,"Professional, scientific and technical activities (M)","Annual change, %",3.5
2024Q3,Administrative and support service activities (N),Value of index,133.1
2024Q3,Administrative and support service activities (N),"Quarterly change, %",-2.1
2024Q3,Administrative and support service activities (N),"Annual change, %",6.5
2024Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,129.6
