Kyn og landsvæði,Atvinnigrein (aðal- og aukastarf),Ár,Eining,value
Total,U - Activities of extraterritorial organisations and bodies,2001,95% Conf.Int,300
Total,U - Activities of extraterritorial organisations and bodies,2002,Number (main and second job),1000
Total,U - Activities of extraterritorial organisations and bodies,2002,95% Conf.Int,300
Total,U - Activities of extraterritorial organisations and bodies,2003,Number (main and second job),500
Total,U - Activities of extraterritorial organisations and bodies,2003,95% Conf.Int,200
Total,U - Activities of extraterritorial organisations and bodies,2004,Number (main and second job),400
Total,U - Activities of extraterritorial organisations and bodies,2004,95% Conf.Int,200
Total,U - Activities of extraterritorial organisations and bodies,2005,Number (main and second job),500
Total,U - Activities of extraterritorial organisations and bodies,2005,95% Conf.Int,200
Total,U - Activities of extraterritorial organisations and bodies,2006,Number (main and second job),400
Total,U - Activities of extraterritorial organisations and bodies,2006,95% Conf.Int,200
Total,U - Activities of extraterritorial organisations and bodies,2007,Number (main and second job),400
Total,U - Activities of extraterritorial organisations and bodies,2007,95% Conf.Int,200
Total,U - Activities of extraterritorial organisations and bodies,2008,Number (main and second job),100
Total,U - Activities of extraterritorial organisations and bodies,2008,95% Conf.Int,100
Total,U - Activities of extraterritorial organisations and bodies,2009,Number (main and second job),200
Total,U - Activities of extraterritorial organisations and bodies,2009,95% Conf.Int,100
Total,U - Activities of extraterritorial organisations and bodies,2010,Number (main and second job),100
Total,U - Activities of extraterritorial organisations and bodies,2010,95% Conf.Int,100
Total,U - Activities of extraterritorial organisations and bodies,2011,Number (main and second job),100
Total,U - Activities of extraterritorial organisations and bodies,2011,95% Conf.Int,100
Total,U - Activities of extraterritorial organisations and bodies,2012,Number (main and second job),200
Total,U - Activities of extraterritorial organisations and bodies,2012,95% Conf.Int,100
Total,U - Activities of extraterritorial organisations and bodies,2013,Number (main and second job),200
Total,U - Activities of extraterritorial organisations and bodies,2013,95% Conf.Int,100
Total,U - Activities of extraterritorial organisations and bodies,2014,Number (main and second job),100
Total,U - Activities of extraterritorial organisations and bodies,2014,95% Conf.Int,100
Total,U - Activities of extraterritorial organisations and bodies,2015,Number (main and second job),100
Total,U - Activities of extraterritorial organisations and bodies,2015,95% Conf.Int,100
Total,U - Activities of extraterritorial organisations and bodies,2016,Number (main and second job),100
Total,U - Activities of extraterritorial organisations and bodies,2016,95% Conf.Int,100
Total,U - Activities of extraterritorial organisations and bodies,2017,Number (main and second job),100
Total,U - Activities of extraterritorial organisations and bodies,2017,95% Conf.Int,100
Total,U - Activities of extraterritorial organisations and bodies,2018,Number (main and second job),100
Total,U - Activities of extraterritorial organisations and bodies,2018,95% Conf.Int,100
Total,U - Activities of extraterritorial organisations and bodies,2019,Number (main and second job),100
Total,U - Activities of extraterritorial organisations and bodies,2019,95% Conf.Int,100
Total,U - Activities of extraterritorial organisations and bodies,2020,Number (main and second job),100
Total,U - Activities of extraterritorial organisations and bodies,2020,95% Conf.Int,100
Total,U - Activities of extraterritorial organisations and bodies,2021,Number (main and second job),200
Total,U - Activities of extraterritorial organisations and bodies,2021,95% Conf.Int,100
Total,U - Activities of extraterritorial organisations and bodies,2022,Number (main and second job),300
Total,U - Activities of extraterritorial organisations and bodies,2022,95% Conf.Int,200
Total,U - Activities of extraterritorial organisations and bodies,2023,Number (main and second job),100
Total,U - Activities of extraterritorial organisations and bodies,2023,95% Conf.Int,100
Total,U - Activities of extraterritorial organisations and bodies,2024,Number (main and second job),100
Total,U - Activities of extraterritorial organisations and bodies,2024,95% Conf.Int,100
Total,U - Activities of extraterritorial organisations and bodies,2025,Number (main and second job),100
Total,U - Activities of extraterritorial organisations and bodies,2025,95% Conf.Int,100
Total,X - Non specified activites,1991,Number (main and second job),100
Total,X - Non specified activites,1991,95% Conf.Int,100
Total,X - Non specified activites,1992,Number (main and second job),100
Total,X - Non specified activites,1992,95% Conf.Int,100
Total,X - Non specified activites,1993,Number (main and second job),0
Total,X - Non specified activites,1993,95% Conf.Int,0
Total,X - Non specified activites,1994,Number (main and second job),200
Total,X - Non specified activites,1994,95% Conf.Int,100
Total,X - Non specified activites,1995,Number (main and second job),100
Total,X - Non specified activites,1995,95% Conf.Int,100
Total,X - Non specified activites,1996,Number (main and second job),200
Total,X - Non specified activites,1996,95% Conf.Int,100
Total,X - Non specified activites,1997,Number (main and second job),100
Total,X - Non specified activites,1997,95% Conf.Int,100
Total,X - Non specified activites,1998,Number (main and second job),0
Total,X - Non specified activites,1998,95% Conf.Int,100
Total,X - Non specified activites,1999,Number (main and second job),100
Total,X - Non specified activites,1999,95% Conf.Int,100
Total,X - Non specified activites,2000,Number (main and second job),100
Total,X - Non specified activites,2000,95% Conf.Int,100
Total,X - Non specified activites,2001,Number (main and second job),400
Total,X - Non specified activites,2001,95% Conf.Int,200
Total,X - Non specified activites,2002,Number (main and second job),400
Total,X - Non specified activites,2002,95% Conf.Int,200
Total,X - Non specified activites,2003,Number (main and second job),100
Total,X - Non specified activites,2003,95% Conf.Int,100
Total,X - Non specified activites,2004,Number (main and second job),100
Total,X - Non specified activites,2004,95% Conf.Int,100
Total,X - Non specified activites,2005,Number (main and second job),100
Total,X - Non specified activites,2005,95% Conf.Int,100
Total,X - Non specified activites,2006,Number (main and second job),100
Total,X - Non specified activites,2006,95% Conf.Int,100
Total,X - Non specified activites,2007,Number (main and second job),300
Total,X - Non specified activites,2007,95% Conf.Int,100
Total,X - Non specified activites,2008,Number (main and second job),100
Total,X - Non specified activites,2008,95% Conf.Int,100
Total,X - Non specified activites,2009,Number (main and second job),200
Total,X - Non specified activites,2009,95% Conf.Int,100
Total,X - Non specified activites,2010,Number (main and second job),200
Total,X - Non specified activites,2010,95% Conf.Int,100
Total,X - Non specified activites,2011,Number (main and second job),300
Total,X - Non specified activites,2011,95% Conf.Int,200
Total,X - Non specified activites,2012,Number (main and second job),400
Total,X - Non specified activites,2012,95% Conf.Int,200
Total,X - Non specified activites,2013,Number (main and second job),500
Total,X - Non specified activites,2013,95% Conf.Int,200
Total,X - Non specified activites,2014,Number (main and second job),400
Total,X - Non specified activites,2014,95% Conf.Int,200
Total,X - Non specified activites,2015,Number (main and second job),500
Total,X - Non specified activites,2015,95% Conf.Int,200
Total,X - Non specified activites,2016,Number (main and second job),400
Total,X - Non specified activites,2016,95% Conf.Int,200
Total,X - Non specified activites,2017,Number (main and second job),500
Total,X - Non specified activites,2017,95% Conf.Int,200
Total,X - Non specified activites,2018,Number (main and second job),500
Total,X - Non specified activites,2018,95% Conf.Int,200
Total,X - Non specified activites,2019,Number (main and second job),600
Total,X - Non specified activites,2019,95% Conf.Int,200
Total,X - Non specified activites,2020,Number (main and second job),200
Total,X - Non specified activites,2020,95% Conf.Int,100
Total,X - Non specified activites,2021,Number (main and second job),300
Total,X - Non specified activites,2021,95% Conf.Int,200
Total,X - Non specified activites,2022,Number (main and second job),400
Total,X - Non specified activites,2022,95% Conf.Int,200
Total,X - Non specified activites,2023,Number (main and second job),700
